Temperature - (Celsius), Year, Statistics, Country, ISO3
20.0, 2020, Mar Average, Argentina, ARG
14.9, 2020, Apr Average, Argentina, ARG
11.0, 2020, May Average, Argentina, ARG
8.3, 2020, Jun Average, Argentina, ARG
6.4, 2020, Jul Average, Argentina, ARG
9.7, 2020, Aug Average, Argentina, ARG
12.5, 2020, Sep Average, Argentina, ARG
15.5, 2020, Oct Average, Argentina, ARG
19.0, 2020, Nov Average, Argentina, ARG
20.3, 2020, Dec Average, Argentina, ARG
